Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,UPURL,positionDB,teamid,playerTeamId,League,PlayerName,xMLBAMID,playerids,playerid
NYY,Yankees,5,4,13,13,0,0,,68.0,289,56,27,25,8,76,26,,3,3.33676,1.20508,10.0981,3.38435,2.98376,1.03069,0.263618,0.0883509,0.17526739090681076,,0.216325,0.275255,0.765867,3.62215,324.20000000000005,4.76764705882353,301.0,4.426470588235294,1.34208,1.59219,8,116.62999725341797,/players/cameron-schlittler/32095/stats/pitching,P,9.0,9.0,AL,Cam Schlittler,693645,32095,32095
MIA,Marlins,5,3,15,15,0,0,,80.0,342,75,38,35,10,82,28,,4,3.95362,1.28732,9.1773,3.13508,2.92729,1.11554,0.238394,0.0814384,0.1569555103778839,,0.241881,0.297637,0.725019,3.86404,342.0,4.275,338.0,4.225,1.33634,1.25777,8,281.45001220703125,/players/max-meyer/27474/stats/pitching,P,20.0,20.0,NL,Max Meyer,676974,27474,27474
BAL,Orioles,5,5,15,15,0,0,,79.0,329,69,36,33,9,82,30,,4,3.80292,1.25578,9.37235,3.40247,2.75457,1.038,0.248984,0.0903894,0.1585947647690773,,0.233612,0.293173,0.725813,3.79839,356.5,4.512658227848101,340.0,4.30379746835443,1.32921,1.36298,8,72.95999908447266,/players/kyle-bradish/24586/stats/pitching,P,2.0,2.0,AL,Kyle Bradish,680694,24586,24586
TBR,Rays,4,2,12,17,0,0,,61.0,254,51,24,22,6,68,20,,3,3.25855,1.17593,10.0489,3.02234,3.32486,0.920003,0.268574,0.0807773,0.18779630213975906,,0.222497,0.288567,0.755681,3.3461,312.0000000000001,5.114754098360658,294.0,4.819672131147541,1.32513,1.46944,7,149.2100067138672,/players/griffin-jax/20253/stats/pitching,P,12.0,12.0,AL,Griffin Jax,643377,20253,20253
MIN,Twins,5,3,15,15,0,0,,82.0,346,72,38,35,11,85,30,,4,3.88329,1.25295,9.38654,3.27797,2.86352,1.1869,0.245913,0.0858778,0.16003499180078506,,0.232066,0.285086,0.731695,3.96891,352.3,4.296341463414635,335.0,4.085365853658536,1.28739,1.4401,8,492.4599914550781,/players/taj-bradley/22543/stats/pitching,P,8.0,8.0,AL,Taj Bradley,671737,22543,22543
NYY,Yankees,6,5,16,16,0,0,,90.0,382,77,42,39,13,95,35,,4,3.85475,1.22945,9.40674,3.4503,2.72636,1.27211,0.247336,0.0907203,0.1566154807806015,,0.222965,0.270206,0.73834,4.14646,378.90000000000003,4.21,354.0,3.933333333333333,1.27985,1.42668,9,202.3000030517578,/players/carlos-rodon/16137/stats/pitching,P,9.0,9.0,AL,Carlos Rodón,607074,16137,16137
MIL,Brewers,5,2,15,15,0,0,,74.0,318,63,32,29,10,84,26,,4,3.57897,1.20829,10.1647,3.17892,3.19754,1.24891,0.262772,0.0821795,0.18059266358613968,,0.219391,0.272431,0.763258,3.85286,338.8,4.578378378378378,318.0,4.297297297297297,1.27784,1.42849,8,446.55999755859375,/players/kyle-harrison/27758/stats/pitching,P,23.0,23.0,NL,Kyle Harrison,690986,27758,27758
WSN,Nationals,4,4,14,14,0,0,,75.0,326,73,36,33,8,71,27,,4,3.92773,1.32601,8.54839,3.24067,2.63784,0.989943,0.219066,0.0830476,0.13601887226104736,,0.245925,0.29845,0.724691,3.86019,315.8,4.210666666666667,320.0,4.266666666666667,1.27432,1.11427,7,305.2200012207031,/players/cade-cavalli/27473/stats/pitching,P,24.0,24.0,NL,Cade Cavalli,676917,27473,27473
PIT,Pirates,5,3,13,18,0,0,,72.0,308,65,32,30,9,77,25,,3,3.68408,1.24554,9.52663,3.0799,3.09316,1.06687,0.248775,0.0804276,0.1683477982878685,,0.233658,0.291854,0.739592,3.69654,323.1000000000001,4.487500000000001,313.0,4.347222222222222,1.26684,1.28444,7,714.77001953125,/players/jared-jones/27863/stats/pitching,P,27.0,27.0,NL,Jared Jones,683003,27863,27863
LAD,Dodgers,5,3,10,10,0,0,,56.0,229,44,22,21,7,67,21,,3,3.31435,1.15386,10.7216,3.33647,3.21345,1.04866,0.290185,0.0903032,0.1998814195394516,,0.212338,0.280049,0.758669,3.48932,275.9000000000001,4.926785714285716,251.0,4.482142857142857,1.26089,1.34906,6,113.73999786376953,/players/tyler-glasnow/14374/stats/pitching,P,22.0,22.0,NL,Tyler Glasnow,607192,14374,14374
