Name,Team,POS,ADP,IP,mW,mSV,mERA,mWHIP,mSO,PTS,aPOS,Dollars,NameASCII,PlayerId,MLBAMID
"Jon Gray ",,"SP",999,126,-1.24607488806693,-2.6832634381672,-10.517340343190135,-8.660650616057607,-2.60919559438651,-25.716524879868388,10.823493985509053,-13.893030894359336,"Jon Gray","14916",592351
"Bailey Horn ","DET","RP",999,52,-7.54203223845465,-2.6832634381672,-2.906900669344509,-5.4562032174825505,-8.01655359440676,-26.60495315785567,11.693156450571745,-13.91179670728393,"Bailey Horn","27753",690544
"Kade Strowd ","BAL","RP",999,60,-6.28284076837711,-2.27887836762616,-3.632011870025939,-7.203700813288945,-7.31882998150092,-26.71626180081907,11.693156450571745,-14.02310535024732,"Kade Strowd","26191",669704
"Tyler Alexander ","TEX","SP/RP",999,84,-5.02364929829956,-2.27887836762616,-7.613667607155031,-4.747239919935401,-6.18502911052893,-25.848464303545082,10.823493985509053,-14.024970318036033,"Tyler Alexander","17735",641302
"Zack Littell ",,"SP",435.4599914550781,177,2.5314995221657,-2.6832634381672,-17.397826916390247,-8.060043426144976,-0.254378400829305,-25.86401265936603,10.823493985509053,-14.040518673856978,"Zack Littell","15823",641793
"Tommy Kahnle ",,"RP",999,63,-6.28284076837711,-2.6832634381672,-3.4523480365102746,-7.409906780337929,-6.969968175048,-26.798327198440518,11.693156450571745,-14.10517074786877,"Tommy Kahnle","11384",592454
"Peyton Pallette ","CLE","RP",999,52,-7.54203223845465,-2.6832634381672,-3.8100617368869103,-4.942939638764369,-7.8421226911803,-26.820419743453442,11.693156450571745,-14.127263292881697,"Peyton Pallette","sa3020742",688883
"Jameson Taillon ","CHC","SP",326.69000244140625,171,1.27230805208816,-2.6832634381672,-15.950832448336783,-8.160895070765187,-0.428809304055765,-25.951492209236786,10.823493985509053,-14.127998223727731,"Jameson Taillon","11674",592791
"Ryan Watson ","BOS","RP",999,50,-7.54203223845465,-2.6832634381672,-3.6287839367165513,-4.634381134492316,-8.36541540085968,-26.853876148690404,11.693156450571745,-14.160719698118656,"Ryan Watson","sa3015070",670245
"Chad Green ",,"RP",999,51,-7.54203223845465,-2.6832634381672,-5.074164438115334,-3.505501439832889,-8.10376904601999,-26.90873060059007,11.693156450571745,-14.215574150018325,"Chad Green","15552",643338
"Andrew Abbott ","CIN","SP",200.69000244140625,168,1.27230805208816,-2.6832634381672,-16.130496281852444,-10.007743418588912,1.48993063143529,-26.05926445508511,10.823493985509053,-14.23577046957606,"Andrew Abbott","29911",671096
"Tatsuya Imai ",,"SP",999,148,0.0131165820106127,-2.6832634381672,-9.801912942436859,-13.594584899204742,0.00726795401038433,-26.05937674378781,10.823493985509053,-14.235882758278757,"Tatsuya Imai","sa3062955",
"Cade Winquest ","NYY","RP",999,50,-7.54203223845465,-2.6832634381672,-3.6287839367165513,-4.634381134492316,-8.45263085247291,-26.94109160030363,11.693156450571745,-14.247935149731886,"Cade Winquest","sa3020805",685464
"Hunter Dobbins ","BOS","SP",739.4600219726562,44,-7.54203223845465,-2.6832634381672,-3.084950536205479,-3.708705621676154,-9.06313901376552,-26.082090848269008,10.823493985509053,-14.25859686275996,"Hunter Dobbins","30240",690928
"Yosver Zulueta ","CIN","RP",999,50,-7.54203223845465,-2.6832634381672,-2.7256228691741504,-6.174171870646861,-7.8421226911803,-26.967213107623166,11.693156450571745,-14.274056657051421,"Yosver Zulueta","27765",691172
"Lyon Richardson ","CIN","RP",999,40,-7.54203223845465,-2.6832634381672,-2.7223949358647657,-5.144642928004774,-8.88870811053906,-26.981041651030456,11.693156450571745,-14.28788520045871,"Lyon Richardson","24581",680689
"Kyle Wright ",,"SP",999,91,-3.76445782822202,-2.6832634381672,-5.990237238895277,-8.136880789119408,-5.57452094923632,-26.149360243640235,10.823493985509053,-14.325866258131185,"Kyle Wright","19665",657140
"Matthew Liberatore ","STL","SP",434.30999755859375,157,1.27230805208816,-2.6832634381672,-11.972404644517065,-12.160148485478986,-0.690455658895454,-26.233964174970552,10.823493985509053,-14.410470189461497,"Matthew Liberatore","22294",669461
