Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,UPURL,positionDB,teamid,playerTeamId,League,PlayerName,xMLBAMID,playerids,playerid
MIL,Brewers,3,3,8,11,0,0,,44.0,185,39,21,19,7,47,14,,2,3.93611,1.18329,9.53537,2.74315,3.47607,1.323,0.254419,0.0731916,0.18122754991054535,,0.229647,0.279312,0.728525,3.90907,184.1,4.184090909090909,175.0,3.977272727272727,0.790609,0.70052,4,413.3999938964844,/players/logan-henderson/31475/stats/pitching,P,23,23.0,NL,Logan Henderson,701656,31475,31475
ATH,Athletics,4,4,11,11,0,0,,55.0,237,53,28,26,7,53,19,,3,4.17989,1.313,8.57166,3.1537,2.71797,1.13749,0.222529,0.0818731,0.14065556973218918,,0.248266,0.298808,0.714009,4.04649,223.09999999999997,4.056363636363636,224.0,4.072727272727272,0.788981,0.778845,5,999.0,/players/gage-jump/35418/stats/pitching,P,10,10.0,AL,Gage Jump,695611,35418,35418
TBR,Rays,3,3,9,9,0,0,,40.0,170,36,19,17,5,46,14,,1,3.81461,1.226,10.1676,3.03518,3.34992,1.09628,0.269253,0.0803757,0.18887677043676376,,0.232383,0.298075,0.725597,3.53805,187.9,4.6975,182.0,4.55,0.788457,0.648015,5,149.2100067138672,/players/griffin-jax/20253/stats/pitching,P,12,12.0,AL,Griffin Jax,643377,20253,20253
CIN,Reds,3,3,10,10,0,0,,55.0,235,53,29,27,8,53,17,,6,4.44278,1.27384,8.71173,2.84072,3.06674,1.26919,0.227375,0.0741424,0.15323273837566376,,0.250228,0.300399,0.687373,4.28106,207.8,3.7781818181818183,208.0,3.7818181818181817,0.788018,0.715328,5,127.94999694824219,/players/nick-lodolo/26378/stats/pitching,P,18,18.0,NL,Nick Lodolo,666157,26378,26378
CLE,Guardians,2,1,0,27,13,1,,27.0,108,20,9,8,2,35,8,,1,2.82179,1.05121,11.921,2.63678,4.52105,0.776023,0.328305,0.0726169,0.2556881010532379,,0.205388,0.29462,0.762783,2.60048,235.20000000000005,8.711111111111112,221.0,8.185185185185185,0.78769,0.802675,0,39.90999984741211,/players/cade-smith/27867/stats/pitching,P,5,5.0,AL,Cade Smith,671922,27867,27867
CLE,Guardians,4,4,12,12,0,0,,68.0,289,66,34,32,10,61,20,,3,4.19087,1.27623,8.12196,2.70893,2.99821,1.32692,0.212332,0.0708195,0.14151260256767273,,0.249429,0.289441,0.722667,4.23277,261.6,3.8470588235294123,263.0,3.8676470588235294,0.781113,0.82636,6,188.6300048828125,/players/tanner-bibee/30134/stats/pitching,P,5,5.0,AL,Tanner Bibee,676440,30134,30134
CHW,White Sox,3,4,11,11,0,0,,62.0,267,58,32,30,9,61,25,,3,4.38612,1.33891,8.92821,3.63196,2.45824,1.32508,0.230019,0.0935706,0.1364479660987854,,0.24222,0.289502,0.71855,4.38374,235.29999999999995,3.79516129032258,231.0,3.725806451612903,0.777717,0.74383,5,748.5599975585938,/players/sean-burke/29878/stats/pitching,P,4,4.0,AL,Sean Burke,680732,29878,29878
MIN,Twins,3,4,11,11,0,0,,62.0,262,62,33,31,10,53,15,,2,4.43892,1.2494,7.7665,2.23997,3.46724,1.49974,0.203844,0.0587915,0.1450524739921093,,0.253508,0.285859,0.707958,4.40069,229.59999999999997,3.7032258064516124,235.0,3.7903225806451615,0.774728,0.645973,5,494.3399963378906,/players/bailey-ober/21224/stats/pitching,P,8,8.0,AL,Bailey Ober,641927,21224,21224
NYM,Mets,3,3,11,11,0,0,,62.0,262,58,33,30,9,61,21,,4,4.39234,1.27146,8.94983,3.02292,2.96066,1.34465,0.234056,0.0790553,0.15500032156705856,,0.24344,0.291248,0.700278,4.27016,244.29999999999995,3.9403225806451605,240.0,3.870967741935484,0.773139,0.490119,5,423.3599853515625,/players/sean-manaea/15873/stats/pitching,P,25,25.0,NL,Sean Manaea,640455,15873,15873
SEA,Mariners,3,3,9,15,0,0,,58.0,240,52,27,25,8,56,16,,2,3.92331,1.18076,8.70608,2.46815,3.52738,1.26078,0.232857,0.0660142,0.16684290766716003,,0.235707,0.279871,0.72058,3.91154,253.60000000000008,4.3724137931034495,244.0,4.206896551724138,0.763233,0.70451,4,341.6000061035156,/players/bryce-miller/29837/stats/pitching,P,11,11.0,AL,Bryce Miller,682243,29837,29837
CIN,Reds,3,5,12,12,0,0,,62.0,266,62,35,32,10,56,20,,4,4.71633,1.34029,8.22505,2.95733,2.78124,1.4259,0.211523,0.0760535,0.1354692354798317,,0.257678,0.298983,0.691781,4.51514,214.59999999999997,3.4612903225806444,220.0,3.5483870967741935,0.762718,0.585452,5,388.25,/players/brady-singer/25377/stats/pitching,P,18,18.0,NL,Brady Singer,663903,25377,25377
CHW,White Sox,2,1,0,30,7,3,,30.0,126,25,12,11,3,37,11,,0,3.19645,1.18457,10.9806,3.25457,3.3739,0.807763,0.293868,0.0871005,0.20676776766777039,,0.218045,0.297515,0.752572,2.95939,208.10000000000002,6.936666666666667,199.0,6.633333333333334,0.762334,0.636521,0,506.67999267578125,/players/grant-taylor/33927/stats/pitching,P,4,4.0,AL,Grant Taylor,691799,33927,33927
