Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid
MIA,Marlins,6.53769,8.53758,22.0,22.0,0.0,0.0,,121.154,507.47,104.287,62.43,58.56,18.047,122.831,43.7341,0.379707,4.44808,4.35017,1.22176,9.12461,3.24881,2.8086,1.34063,0.242047,0.0861806,0.15586614608764648,,0.227063,0.270847,0.697251,4.237,505.60000000000014,4.178512396694216,473.0,3.909090909090909,1.90015,1.33582,8.71774,78.6500015258789,20,NL,Eury Pérez,691587,27768,27768
SFG,Giants,8.32563,8.87361,24.0,24.0,0.0,0.0,,146.088,624.73,128.8,78.56,73.37,22.4247,156.051,63.3094,0.416845,5.01034,4.52008,1.31503,9.61377,3.90028,2.46489,1.38151,0.249789,0.101339,0.1484503597021103,,0.231485,0.281466,0.706528,4.39724,582.4000000000001,3.9890410958904114,552.0,3.780821917808219,1.85342,1.19299,11.9784,166.44000244140625,30,NL,Robbie Ray,592662,11486,11486
PIT,Pirates,6.59644,7.50496,19.0,33.0,0.0,0.5201,,103.679,438.54,98.4467,50.8,47.42,11.4322,99.1438,34.3194,0.652855,4.19316,4.11637,1.28055,8.60634,2.97915,2.88885,0.992389,0.226077,0.0782583,0.1478186398744583,,0.2461,0.300619,0.701999,3.77045,467.49999999999994,4.4951923076923075,465.0,4.471153846153846,1.82774,1.24861,4.83529,239.36000061035156,27,NL,Braxton Ashcraft,677952,23793,23793
PHI,Phillies,9.10686,7.7807,24.0,24.0,0.0,0.0,,141.168,597.49,136.507,76.0,70.74,23.1007,136.17,44.4968,0.392814,4.53864,4.50995,1.28219,8.68137,2.83684,3.06023,1.47276,0.227904,0.0744728,0.15343087166547775,,0.248895,0.291396,0.706323,4.37533,529.3000000000002,3.7539007092198595,531.0,3.765957446808511,1.82135,1.18091,11.134,205.52999877929688,26,NL,Aaron Nola,605400,16149,16149
MIA,Marlins,7.67207,9.43966,24.0,24.0,0.0,0.0,,144.48,611.89,140.841,76.38,71.6,17.3774,101.807,46.3666,0.42178,5.5761,4.46013,1.29573,6.34182,2.88828,2.19571,1.08248,0.166382,0.075776,0.0906057134270668,,0.251525,0.280113,0.680427,4.36796,537.9000000000001,3.7354166666666675,547.0,3.798611111111111,1.81606,1.36696,11.6707,144.57000732421875,20,NL,Sandy Alcantara,645261,18684,18684
MIN,Twins,7.73722,8.28427,22.0,22.0,0.0,0.0,,138.49,594.64,132.6,74.92,70.17,20.1602,130.135,53.3633,0.392492,4.75506,4.56011,1.34279,8.45701,3.4679,2.43865,1.31015,0.218846,0.0897405,0.12910538166761398,,0.247148,0.291124,0.703969,4.40721,515.4000000000001,3.734782608695653,516.0,3.739130434782609,1.77659,1.09557,11.7808,492.4599914550781,8,AL,Taj Bradley,671737,22543,22543
DET,Tigers,7.96472,8.15714,23.0,23.0,0.0,0.0,,133.998,574.09,125.173,71.91,67.15,20.7976,140.514,50.5378,0.461383,6.79138,4.51014,1.31129,9.43764,3.39438,2.78037,1.39687,0.244759,0.0880311,0.15672829002141953,,0.242225,0.293642,0.708082,4.3391,516.3,3.8529850746268655,505.0,3.7686567164179103,1.77343,1.1447,10.4505,209.0,6,AL,Jack Flaherty,656427,17479,17479
BAL,Orioles,7.81286,7.28829,22.0,22.0,0.0,0.0,,123.42,527.62,121.028,65.67,61.3,16.1994,106.152,43.5592,0.518565,4.30753,4.4701,1.33355,7.7408,3.17641,2.43696,1.18129,0.20119,0.0825579,0.11863256245851517,,0.252271,0.293307,0.697051,4.28477,466.80000000000007,3.795121951219513,475.0,3.861788617886179,1.76557,1.05935,9.16554,146.07000732421875,2,AL,Trevor Rogers,669432,22286,22286
BOS,Red Sox,7.64519,7.35945,22.0,22.0,0.0,0.0,,121.594,511.23,117.384,63.09,58.64,17.8462,109.535,35.0146,0.322645,4.34245,4.34035,1.25334,8.1074,2.59167,3.12826,1.32092,0.214257,0.0684908,0.14576604217290878,,0.248762,0.288941,0.700933,4.21252,480.2000000000002,3.9360655737704935,479.0,3.9262295081967213,1.74244,1.29751,8.78763,138.08999633789062,3,AL,Sonny Gray,543243,12768,12768
MIL,Brewers,7.60086,8.12962,22.0,28.0,0.0,0.5004,,110.073,469.57,85.0665,51.37,48.22,14.9554,143.055,55.9389,0.520456,7.14892,3.94265,1.28101,11.6967,4.57377,2.55735,1.22281,0.304652,0.119128,0.18552353978157043,,0.209275,0.282169,0.74654,4.02158,509.5,4.631818181818182,456.0,4.1454545454545455,1.72295,1.71071,5.4963,114.13999938964844,23,NL,Jacob Misiorowski,694819,31623,31623
